,Title,Company,Location,Experience,Description
20,Senior Data Engineer,Iitjobs Inc.,Muscat - Oman,7 - 10 Years,"Design and develop SSIS packages and ETL workflows, requiring strong SQL Server Integration Services, T-SQL, and data migration skills."
21,Big Data Engineer L2,Alef Education,Abu Dhabi - United Arab Emirates,5 - 10 Years,"Develop and maintain scalable data solutions, manage data pipelines, and mentor developers while utilizing Big Data technologies and best practices."
22,Senior Data Engineer (Spark),SSC Egypt,Cairo - Egypt,5 - 10 Years,"Build and manage large scale batch data pipelines using Apache Spark, focusing on performance tuning, data modelling, and automated scheduling for analytics."
23,Senior Data Engineer (Flink),SSC Egypt,Cairo - Egypt,3 - 8 Years,"Build and manage real-time streaming pipelines using Apache Flink, Kafka, and data modeling for analytics, ensuring low latency and job recovery."
24,Data Engineer,CME,Beirut - Lebanon,5 - 10 Years,"Build resilient data pipelines, manage storage formats, and ensure data quality while collaborating with stakeholders; requires strong SQL, Python, and data engineering skills."
25,Senior Data Engineer,Big Data Technology Solutions,Dubai - United Arab Emirates,5 - 10 Years,"Seeking a skilled Data Engineer for technical support of enterprise data platforms, focusing on ETL, data quality, and governance."
26,Pyspark Data Engineer,Clover Infotech,Dubai - United Arab Emirates,1 - 5 Years,"Design, develop, and maintain scalable data pipelines using PySpark on Cloudera Data Platform, ensuring data quality and implementing best practices."
27,Lead Data Engineer,Coforge,Dubai - United Arab Emirates,5 - 10 Years,"Design, develop, and maintain scalable data pipelines and solutions, ensuring data quality and collaborating with teams on data engineering best practices."
28,Senior Data Engineer,Future Look ITC,Riyadh - Saudi Arabia,1 - 6 Years,Design and build scalable data pipelines and infrastructure for artificial intelligence models and analytics platforms as a Senior Data Engineer.
29,Senior Data Engineer,Client of Salt,Abu Dhabi - United Arab Emirates,5 - 10 Years,"Build scalable data pipelines and products using Python, SQL, and cloud platforms, ensuring data quality and supporting AI workloads."
30,Data Engineer BigQuery / SQL / Python / GCP,ALTEN,Morocco - Morocco,3 - 5 Years,"Design and develop data pipelines, optimize SQL and BigQuery, ensure data quality, and collaborate with teams using Python and GCP."
31,"Senior Data Engineer - Systems Architecture, Design & Development",Wynn Al Marjan Island,Ras Al Khaimah - United Arab Emirates,5 - 10 Years,"Design and optimize ETL pipelines using SQL, Python, and Snowflake; develop data warehouses and support analytics with strong data engineering skills."
32,Data Engineer Snowflake,Capco,Qatar - Qatar,5 - 10 Years,"Deliver cloud-native data engineering solutions using Snowflake, SQL, and Python, while mentoring junior colleagues and optimizing data platforms."
33,Senior Data Engineer,Flairstech,Cairo - Egypt,4 - 9 Years,"Design and maintain scalable data pipelines on Google Cloud Platform, ensuring data quality and collaborating with cross-functional teams to deliver reliable solutions."
34,Senior Data Engineer,tabby,Riyadh - Saudi Arabia,3 - 5 Years,"Seeking a Data Engineer to develop scalable data processing systems, integrate tools, and utilize Python, SQL, and various technologies including Google Cloud Platform."
35,Data Engineer,Flairstech,Egypt - Egypt,1 - 6 Years,"Transform raw geospatial and demographic data through acquisition, cleansing, and integration while collaborating with teams and managing databases."
36,Integration and Data Engineer,Client of Premier Services & Recruitment,Cairo - Egypt,3 - 5 Years,"Responsible for designing and maintaining data pipelines and integrations, requiring strong ETL experience, data modeling skills, and cloud service familiarity."
37,Pavement Data Engineer,Client of Guildhall,Qatar - Qatar,5 - 10 Years,"Manage pavement condition data analysis, validate datasets, convert data into maintenance plans, and coordinate with engineering teams for road operations."
38,"Data Engineer - DMP, Streaming & Analytics",Yassir,Algiers - Algeria,5 - 10 Years,"The role involves owning data pipelines, real-time event processing, and audience computation, requiring strong judgment and expertise in data engineering."
39,Data Engineering Lead,Bosta,Cairo - Egypt,6 - 8 Years,"Lead data engineering team, design scalable data architectures, manage projects, ensure data quality, and mentor engineers with strong SQL and ETL skills."
40,Data Engineering Tech Lead,Deloitte,Egypt - Egypt,7 - 12 Years,"Lead a team to design and implement data pipelines, optimize systems, and integrate solutions while managing projects and communicating effectively."
41,Senior Specialist - Data Engineering,Qiddiya Investment Company,Riyadh - Saudi Arabia,1 - 7 Years,"As a Senior Data Engineer, you will use various methods to transform raw data into useful data systems. Collaborate closely with cross-functional teams to ensure the availabilit..."
42,Senior Data Engineer,aspire,Jordan - Jordan,5 - 8 Years,"Design and optimize scalable data platforms, develop ETL pipelines, ensure data quality, and collaborate with teams using cloud technologies and data engineering best practices."
43,Data Engineer (L1) - Remote,Deepsource Technologies,Cairo - Egypt,2 - 7 Years,"Responsible for designing and maintaining data architecture, developing data solutions, with strong Python, Pandas, PySpark, and SQL skills."
44,"Data Engineering, Senior Tech Lead",Deloitte,Egypt - Egypt,10 - 30 Years,"Lead data engineering solutions, manage stakeholder relationships, and utilize cloud platforms and programming languages to solve complex problems."
45,Data Engineer,Contango,Abu Dhabi - United Arab Emirates,3 - 8 Years,"We are seeking an experienced Data Engineer to design, build, and operate scalable, secure, and reliable data pipelines and platforms that power analytics and AI solutions for c..."
46,Data Engineer,Nawy,Egypt - Egypt,1 - 6 Years,"Seeking a motivated Data Engineer to manage data quality, build scalable pipelines, and collaborate with teams using SQL, Python, and cloud technologies."
47,Senior Lead Data Engineer - Databricks,Integrant Inc,Egypt - Egypt,10 - 15 Years,"Drive design and maintenance of data analytical solutions using Microsoft technologies, mentor junior engineers, and possess expertise in data warehousing and cloud solutions."
48,"Data Engineer, Associate",PricewaterhouseCoopers,Cairo - Egypt,1 - 3 Years,"The role involves designing data infrastructure, implementing data pipelines, and requires skills in Azure Data Factory, data modeling, and cloud analytics solutions."
49,Senior Data Engineer,SSC Egypt,Cairo - Egypt,5 - 10 Years,"Analyze diverse data sources, perform data profiling and matching, manage master data, build ETL pipelines, and ensure data governance and optimization."
50,Data Engineer (ETL),Luxoft,Cairo - Egypt,1 - 6 Years,"Responsible for designing and maintaining ETL pipelines, integrating data from various sources, and ensuring data quality and security in cloud environments."
51,Data Engineer,SSC Egypt,Cairo - Egypt,3 - 5 Years,"The Job Holder is Responsible to Builds and maintains data pipelines, ETL/ELT processes, and data integration solutions that move and transform data across the data platform to ..."
52,"Data Engineer, Senior Associate",PricewaterhouseCoopers,Cairo - Egypt,3 - 8 Years,"Design and optimize data platforms on Azure and Databricks, implementing ETL processes and ensuring data quality for advanced analytics."
53,Snowflake Data Engineer,SQLI,Rabat - Morocco,3 - 6 Years,"Design and optimize data management solutions on Snowflake, ensuring data quality and integrating various sources while collaborating with technical teams."
54,Senior Data Engineer,Mondia Media,Cairo - Egypt,3 - 8 Years,"As Sr Data Engineer you will drive the design, deployment, and continuous optimization of scalable data pipelines that ingest and process a wide variety of structured and unstru..."
55,Senior Data Engineer,Robusta Studio,Jeddah - Saudi Arabia,5 - 10 Years,"Lead technical design and implementation of an AI-ready Data Lakehouse platform, focusing on data pipeline development, architecture, and scalable distributed systems."
56,Senior Data Engineer,Mindera,Casablanca - Morocco,3 - 5 Years,"Key responsibilities include designing data infrastructure, building data models, and collaborating with teams using SQL, Python, and Azure services."
57,Data Architects / Data Engineers - Telecom & OSS,Capgemini,Morocco - Morocco,5 - 10 Years,"At Capgemini Engineering, the world leader in engineering services, we bring together a global team of engineers, scientists, and architects to help the world s most innovative ..."
58,Azure Data Engineer,Ghobash Group,Dubai - United Arab Emirates,1 - 6 Years,"The Azure Data Engineer is responsible for designing, implementing, and managing robust data solutions to meet business needs. This includes overseeing data pipelines, Azure dat..."
59,Senior Data Engineer,Bamboo Card,Dubai - United Arab Emirates,5 - 7 Years,"Design and build a scalable data platform, develop ETL pipelines, create Power BI dashboards, and leverage AI for predictive analytics."
60,Data Engineer,SQLI,"Casablanca - Morocco , Rabat - Morocco",3 - 6 Years,"Responsible for designing and maintaining ETL pipelines using Databricks, Python, and SQL, with a focus on data integration and quality."
61,Senior Data Engineer,Nawy,Egypt - Egypt,4 - 6 Years,"Collaborate with data scientists, analysts, and other stakeholders to understand data requirements and design appropriate solutions. Work closely with IT and infrastructure team..."
62,Infrastructure Data Engineer,Urban Ridge Supplies,Doha - Qatar,8 - 10 Years,Infrastructure Data Engineer Design and manage scalable data infrastructure to support operational and analytical systems.
63,Data Engineer Consultant,Total-TECH Co,Jeddah - Saudi Arabia,5 - 7 Years,"Design and build scalable data ingestion pipelines on Google Cloud Platform, optimize performance, and implement monitoring and automation strategies."
64,Senior Data Engineer,Bosta,Cairo - Egypt,4 - 9 Years,"Responsible for end-to-end data pipeline work, architecture decisions, and ensuring LLM-readiness with strong skills in data engineering, SQL, and Python."
65,Senior Data Engineer,Silver Edge Arabia,Eastern Province - Saudi Arabia,5 - 7 Years,"The role involves optimizing data lakes for GenAI, designing ETL processes, collaborating with Data Scientists, and requires expertise in Python, SQL, and big data frameworks."
66,Cloudera Data Engineer,Midis Group,Dubai - United Arab Emirates,2 - 5 Years,"Seeking an experienced Cloudera Data Engineer to build big data pipelines, optimize workflows, and ensure data governance using Cloudera CDP, Hadoop, and Spark."
67,Data Engineer,flyadeal Egypt,Jeddah - Saudi Arabia,1 - 2 Years,"Responsible for managing SQL database objects, developing automation tests, and guiding the Data Engineering team in producing high-quality code."
68,Microsoft Fabric Data Engineer,Sucafina,Beirut - Lebanon,5 - 10 Years,"The role involves designing and optimizing enterprise-scale data platforms using Microsoft Fabric, focusing on data engineering, governance, and automation."
69,Data Engineer,Client of Involved Solutions,Dubai - United Arab Emirates,5 - 10 Years,"Design and maintain scalable data pipelines, ensuring data quality and reliability while collaborating with data scientists and engineers using Python and SQL."
70,Data Engineer (AMI),Client of Angel Gulf Jobs,Dubai - United Arab Emirates,3 - 8 Years,"Manage and optimize Advanced Metering Infrastructure data, develop data pipelines, ensure data quality, and support analytics for smart metering operations."
71,Senior Data Analyst / Data Engineer,BlackStone eIT,Dubai - United Arab Emirates,4 - 11 Years,"Design and optimize ETL/ELT data pipelines, maintain cloud data warehouses, implement data governance, and create automated dashboards using SQL and Python."
72,Senior Data Engineer/Databricks Engineer,Capgemini,Morocco - Morocco,5 - 9 Years,"Develop high-performance data pipelines on Databricks, utilizing PySpark, collaborating with teams, and providing technical guidance to juniors."
73,Data Engineer,Intelligent Systems ISYS,Cairo - Egypt,2 - 7 Years,"Seeking a data engineer experienced in big data, frontend technologies, and client-facing roles to solve operational problems using modern tools."
74,Senior Data Engineer,BlackStone eIT,Cairo - Egypt,5 - 10 Years,"Contribute to data architecture design, develop ETL pipelines, analyze data sources, and ensure data governance while collaborating with teams."
75,Mid/Senior Data Engineer,Yassir,"Alexandria - Egypt , Cairo - Egypt",3 - 7 Years,"Build centralized data lakes, develop data pipelines, ensure data quality, collaborate with teams, and utilize GCP services for data engineering tasks."
76,Mid/Senior Data Engineer,Yassir,Tunis - Tunisia,3 - 8 Years,"Responsibilities Build a centralized data lake on GCP data services by integrating diverse data sources throughout the enterprise. Develop, maintain, and optimize Spark-powered ..."
77,Technical Data Engineer,Apgar Group,Lebanon - Lebanon,1 - 5 Years,External missions You will be working on all the steps of Data Management solutions implementation You will take part in the design and the definition of the solutions’ architec...
78,PRINCIPAL DATA ENGINEER,Commercial International Bank,Giza - Egypt,6 - 11 Years,"Develop and maintain data models, apply ETL techniques, ensure data governance, and possess strong skills in data management and programming."
79,Data Engineer,SQLI,Rabat - Morocco,5 - 7 Years,"Design and implement data pipelines using PySpark, Azure Data Factory, and Azure Databricks, ensuring data quality and collaborating with business teams."
80,Senior Talend Data Engineer,SQLI,Rabat - Morocco,3 - 5 Years,"Responsible for designing and deploying data integration solutions using Talend, requiring skills in data engineering, cloud environments, and programming languages."
81,Data Engineer JAVA KAFKA,SQLI,Rabat - Morocco,2 - 7 Years,"Design and maintain data processing solutions using Java and Kafka, ensuring performance and scalability while collaborating with teams and optimizing data flows."
82,GCP (Google Cloud Platform) Data Engineer,SQLI,Rabat - Morocco,3 - 10 Years,"Responsible for designing, deploying, and optimizing data solutions on Google Cloud Platform, requiring skills in Python, SQL, and data visualization."
83,Senior Data Engineer,SQLI,Rabat - Morocco,5 - 10 Years,"Job Description In this key role, you will be responsible for designing and implementing BI, Analytics, and Big Data solutions. You will provide valuable and timely data analyti..."
84,Data Engineer MS Fabric PySpark (H/F),SQLI,Rabat - Morocco,3 - 6 Years,"Design and optimize data pipelines using PySpark and Azure Data Factory, ensuring data integration and performance in cloud environments."
85,Data Engineer DBT SQL,Devoteam International,Rabat - Morocco,2 - 7 Years,"Design, code, and deploy data pipelines using DBT, SQL, and GCP, while ensuring data quality and collaborating in an agile environment."
86,Senior Data Engineer,Mirai Arabian International Company Limited,Riyadh - Saudi Arabia,8 - 13 Years,"Our Generative AI products are only as good as the data behind them. This role owns that data layer from end to end: the pipelines that bring data in, the transformations that s..."
87,Data Engineer,Fixed Misr (FEDIS),Cairo - Egypt,0 - 3 Years,"Design, develop, and maintain data pipelines and architectures, ensuring data integrity and supporting analytics with strong SQL and programming skills."
88,Data Engineer (Mid/Senior),Yassir,Algiers - Algeria,3 - 8 Years,"Build centralized data lakes, develop data processing pipelines, ensure data quality, and collaborate with teams using GCP and PySpark."
89,Data Engineer,Client of Tandem Search,Dubai - United Arab Emirates,5 - 10 Years,"Design and maintain scalable data pipelines and infrastructure that support analytics, AI initiatives, and enterprise data driven solutions across cloud and on premise environme..."
